cluster_id,violations,peak_hour_ratio,junction_ratio,active_days,active_weeks,approval_ratio,repeat_offender_ratio,cluster_congestion_proxy,recent_7_day_violations,prev_7_day_violations,growth_rate,best_window,center_lat,center_lon,top_violation,top_police_station,top_junction,persistence_score,impact_score,risk_tier,predicted_violations,forecast_margin,forecast_confidence,latest_violations,expected_increase_pct,forecast_risk,recommended_resources,why_ranked
2615,1231,0.3736799350121852,1.0,99,23,0.4321689683184403,0.2502030869212023,7300.66,20,31,-0.3548387096774194,04:00 - 07:00,12.953634350197339,77.54292529681318,WRONG PARKING,Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road",0.75,73.38647441104791,High,9.0,3,66.7,12.0,-25.0,High,1 Traffic Officer,"Ranked #1 because:
• Traffic Obstruction Proxy: 7,300
• 1,231 total violations
• 37% peak-hour concentration
• Growth Rate: -35.5%"
4649,1094,0.3190127970749543,1.0,89,22,0.34643510054844606,0.3117001828153565,7251.67,34,12,1.8333333333333333,02:00 - 05:00,12.977285286197441,77.5707549691042,NO PARKING,Chamarajpet,BTP048 - Shanthala Junction,0.6742424242424242,71.10691341882784,High,21.0,1,95.2,3.0,600.0,Critical,1 Traffic Officer,"Ranked #2 because:
• Traffic Obstruction Proxy: 7,251
• 1,094 total violations
• 31% peak-hour concentration
• Growth Rate: +183.3%"
5033,876,0.2990867579908676,1.0,105,23,0.3892694063926941,0.2853881278538813,4391.849999999999,51,44,0.1590909090909091,08:00 - 11:00,12.959252387214612,77.57639792671233,WRONG PARKING,City Market,BTP104 - Medical College Circle,0.7954545454545454,58.6918676663569,Medium,6.0,1,83.3,17.0,-64.70588235294117,Medium,1 Traffic Officer,"Ranked #3 because:
• Traffic Obstruction Proxy: 4,391
• 876 total violations
• 29% peak-hour concentration
• Growth Rate: +15.9%"
2614,651,0.38863287250384027,1.0,78,23,0.38556067588325654,0.17204301075268819,4307.9,7,20,-0.65,19:00 - 22:00,12.952281493896395,77.54093592343848,NO PARKING,Byatarayanapura,BTP096 - Gali Anjaneya Temple,0.5909090909090909,55.85793247318885,Medium,7.0,3,57.1,2.0,250.0,High,1 Traffic Officer,"Ranked #4 because:
• Traffic Obstruction Proxy: 4,307
• 651 total violations
• 38% peak-hour concentration
• Growth Rate: -65.0%"
809,906,0.1390728476821192,1.0,94,23,0.2847682119205298,0.25165562913907286,4775.030000000001,39,35,0.11428571428571428,05:00 - 08:00,12.988001699234873,77.53755752653134,WRONG PARKING,Vijayanagara,BTP208 - Havanur Circle,0.7121212121212122,55.228877082179395,Medium,4.0,1,75.0,30.0,-86.66666666666667,Medium,1 Traffic Officer,"Ranked #5 because:
• Traffic Obstruction Proxy: 4,775
• 906 total violations
• 13% peak-hour concentration
• Growth Rate: +11.4%"
4981,781,0.10627400768245839,1.0,102,23,0.2970550576184379,0.3201024327784891,4181.630000000001,60,63,-0.047619047619047616,03:00 - 06:00,12.997559166581306,77.54967983879642,WRONG PARKING,Vijayanagara,BTP027 - Modi Bridge Junction,0.7727272727272727,53.36740969848588,Medium,6.0,1,83.3,29.0,-79.3103448275862,Medium,1 Traffic Officer,"Ranked #6 because:
• Traffic Obstruction Proxy: 4,181
• 781 total violations
• 10% peak-hour concentration
• Growth Rate: -4.8%"
4915,144,0.875,1.0,22,12,0.4930555555555556,0.8611111111111112,794.1899999999998,6,0,6.0,19:00 - 22:00,12.993037406944445,77.55414000277779,WRONG PARKING,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",0.16666666666666666,49.711960586227704,Medium,5.0,1,80.0,2.0,150.0,High,"1 Traffic Officer, Peak Hour Patrol","Ranked #7 because:
• Traffic Obstruction Proxy: 794
• 144 total violations
• 87% peak-hour concentration
• Growth Rate: +600.0%"
4966,719,0.21557719054242003,1.0,74,20,0.4575799721835883,0.17663421418636996,3621.5800000000004,6,0,6.0,06:00 - 09:00,12.96489821418733,77.53882013394498,WRONG PARKING,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",0.5606060606060606,49.03987742513644,Medium,4.0,1,75.0,1.0,300.0,High,1 Traffic Officer,"Ranked #8 because:
• Traffic Obstruction Proxy: 3,621
• 719 total violations
• 21% peak-hour concentration
• Growth Rate: +600.0%"
5715,521,0.19577735124760076,1.0,96,22,0.4856046065259117,0.3685220729366603,2749.1899999999996,46,36,0.2777777777777778,06:00 - 09:00,12.97839551074856,77.57357227888676,WRONG PARKING,Upparpet,BTP057 - Anand Rao Junction,0.7272727272727273,48.99752778881853,Medium,11.0,1,90.9,6.0,83.33333333333334,High,1 Traffic Officer,"Ranked #9 because:
• Traffic Obstruction Proxy: 2,749
• 521 total violations
• 19% peak-hour concentration
• Growth Rate: +27.8%"
6288,795,0.08050314465408805,0.4918238993710692,126,22,0.43018867924528303,0.37358490566037733,3908.87,27,38,-0.2894736842105263,04:00 - 07:00,12.969840545541647,77.57568180482977,WRONG PARKING,City Market,No Junction,0.9545454545454546,47.84227734585592,Medium,6.0,1,83.3,4.0,50.0,High,1 Traffic Officer,"Ranked #10 because:
• Traffic Obstruction Proxy: 3,908
• 795 total violations
• 8% peak-hour concentration
• Growth Rate: -28.9%"
2142,219,0.54337899543379,1.0,49,18,0.5616438356164384,0.4840182648401826,1844.6,19,0,19.0,20:00 - 23:00,12.930305056621007,77.60969642876711,WRONG PARKING,Mico Layout,BTP140 - Madiwala Check Post,0.3712121212121212,47.78323498761896,Medium,4.0,1,75.0,5.0,-20.0,Medium,"1 Traffic Officer, Peak Hour Patrol","Ranked #11 because:
• Traffic Obstruction Proxy: 1,844
• 219 total violations
• 54% peak-hour concentration
• Growth Rate: +1900.0%"
4468,614,0.0732899022801303,1.0,84,22,0.3306188925081433,0.43322475570032576,3283.25,26,26,0.0,02:00 - 05:00,12.98510980252153,77.55330186902121,NO PARKING,Rajajinagar,BTP061 - Bhashyam Circle,0.6363636363636364,47.630676085288,Medium,10.0,1,90.0,1.0,900.0,High,1 Traffic Officer,"Ranked #12 because:
• Traffic Obstruction Proxy: 3,283
• 614 total violations
• 7% peak-hour concentration
• Growth Rate: 0.0%"
5351,117,0.9743589743589743,1.0,23,16,0.29914529914529914,0.5470085470085471,720.1299999999998,1,1,0.0,19:00 - 22:00,12.98033202051282,77.57190128803417,WRONG PARKING,Sheshadripuram,BTP057 - Anand Rao Junction,0.17424242424242425,47.34519340157464,Medium,4.0,1,75.0,1.0,300.0,High,"1 Traffic Officer, Peak Hour Patrol","Ranked #13 because:
• Traffic Obstruction Proxy: 720
• 117 total violations
• 97% peak-hour concentration
• Growth Rate: 0.0%"
6451,162,0.6419753086419753,1.0,56,21,0.5308641975308642,0.5493827160493827,1000.4999999999999,20,1,19.0,19:00 - 22:00,12.979025715528348,77.57937099486793,NO PARKING,Upparpet,BTP058 - Subbanna Junction,0.42424242424242425,46.981379409340505,Medium,3.0,1,66.7,7.0,-57.14285714285714,Medium,"1 Traffic Officer, Peak Hour Patrol","Ranked #14 because:
• Traffic Obstruction Proxy: 1,000
• 162 total violations
• 64% peak-hour concentration
• Growth Rate: +1900.0%"
2907,647,0.0061823802163833074,1.0,42,17,0.5054095826893354,0.6800618238021638,3711.05,37,21,0.7619047619047619,23:00 - 26:00,12.96181975378671,77.59903750927357,NO PARKING,Ashok Nagar,BTP172 - Nanjappa Circle,0.3181818181818182,46.9203317238595,Medium,10.0,2,80.0,20.0,-50.0,Medium,1 Traffic Officer,"Ranked #15 because:
• Traffic Obstruction Proxy: 3,711
• 647 total violations
• 0% peak-hour concentration
• Growth Rate: +76.2%"
1502,14,1.0,1.0,3,2,0.5,0.8571428571428571,113.16000000000001,2,0,2.0,08:00 - 11:00,12.965825064285715,77.64159567857145,NO PARKING,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",0.022727272727272728,46.76500532615886,Medium,19.0,1,94.7,1.0,1800.0,High,"1 Traffic Officer, Peak Hour Patrol","Ranked #16 because:
• Traffic Obstruction Proxy: 113
• 14 total violations
• 100% peak-hour concentration
• Growth Rate: +200.0%"
