top_police_station,total_hotspots,avg_impact,critical_count
City Market,307,27.565386546266843,0
Chamarajpet,90,27.13244787366538,0
Upparpet,616,26.93806154112211,0
V.V.Puram (C.Pet),28,26.838069528482094,0
High ground,96,26.732901748889663,0
Vijayanagara,260,25.698975811923958,0
J.P. Nagar,39,24.211111982551426,0
Jayanagara,114,23.61621466552907,0
Basavanagudi,55,23.281699955806282,0
Halasuru Gate,119,23.23887183643201,0
Cubbon Park,52,22.84747577212943,0
Shivajinagar,594,22.839919104557534,0
Rajajinagar,216,22.222648199450628,0
Wilson Garden,61,21.411725643049536,0
Mico Layout,51,21.257879084111366,0
Magadi Road,216,20.90007386077683,0
Ashok Nagar,80,19.9431772753886,0
Madiwala,29,18.20180207320058,0
Banashankari,26,17.27925479795454,0
Hulimavu,37,15.885526174437228,0
Byatarayanapura,87,15.507649862010025,0
Adugodi,82,15.466496158841515,0
Malleshwaram,321,15.199639312035526,0
K.R. Pura,137,14.72485954390145,0
Yelahanka,63,14.688190358633054,0
K.G. Halli,22,14.166685552564939,0
Sheshadripuram,72,13.557384221820724,0
Chikkajala,154,13.314733427678265,0
Yeshwanthpura,81,12.179506027887973,0
Jeevanbheemanagar,204,11.700072766180432,0
Pulikeshinagar(F.Town),73,11.656864694347822,0
Banaswadi,133,11.069851750996323,0
K.S. Layout,26,10.844895217974749,0
HAL Old Airport,693,10.710494124387946,0
Electronic City,113,10.629499406970105,0
HSR Layout,121,10.441410516262245,0
Hennuru,31,10.401049639566654,0
Jalahalli,39,10.37968655347207,0
Halasur,136,10.358331730857605,0
Bellandur,96,10.336673032899284,0
Devanahalli Airport,22,10.332725230841056,0
Mahadevapura,275,10.230934289008893,0
Peenya,25,10.033572381918063,0
R.T. Nagar,51,9.999934433105881,0
Hebbala,81,9.649860110452225,0
Chikkabanavara,20,9.566143047691433,0
Jnanabharathi,24,9.46492779273584,0
Whitefield,117,9.013603448015102,0
No Police Station,12,8.945680622732697,0
Kamakshipalya,32,8.600783033832005,0
Kodigehalli,295,8.334956697679058,0
Sadashivanagar,37,8.032648980352,0
Thalagattapura,24,7.3795361104421735,0
Kengeri,18,6.357515896769042,0
